[pn2401379.lanl.gov:71813] shmem: mmap: an error occurred while determining whether or not /var/folders/36/xt3jx8554vj0_03sz682d5_800074q/T//ompi.pn2401379.7319/jf.0/2451701760/sm_segment.pn2401379.7319.92220000.0 could be created.
InputConverter-u   |   Writing the translated XML to amanzi_infiltration_clay_sand_1d-u_native.xml
CycleDriver        |  Cycle 10: time = 0.47796 min, dt = 7.62939 s
CycleDriver        |  New time = 0.605116 min
CycleDriver        |  
CycleDriver        |  Cycle 11: time = 0.605116 min, dt = 0.158946 min
CycleDriver        |  New time = 0.764062 min
CycleDriver        |  
CycleDriver        |  Cycle 12: time = 0.764062 min, dt = 0.198682 min
CycleDriver        |  New time = 0.962744 min
CycleDriver        |  
CycleDriver        |  Cycle 13: time = 0.962744 min, dt = 0.248353 min
CycleDriver        |  New time = 1.2111 min
CycleDriver        |  
CycleDriver        |  Cycle 14: time = 1.2111 min, dt = 0.310441 min
CycleDriver        |  New time = 1.52154 min
CycleDriver        |  
CycleDriver        |  Cycle 15: time = 1.52154 min, dt = 0.388051 min
CycleDriver        |  New time = 1.90959 min
CycleDriver        |  
CycleDriver        |  Cycle 16: time = 1.90959 min, dt = 0.485064 min
CycleDriver        |  New time = 2.39465 min
CycleDriver        |  
CycleDriver        |  Cycle 17: time = 2.39465 min, dt = 0.60633 min
CycleDriver        |  New time = 3.00098 min
CycleDriver        |  
CycleDriver        |  Cycle 18: time = 3.00098 min, dt = 0.757912 min
CycleDriver        |  New time = 3.75889 min
CycleDriver        |  
CycleDriver        |  Cycle 19: time = 3.75889 min, dt = 0.94739 min
CycleDriver        |  New time = 4.70628 min
CycleDriver        |  
CycleDriver        |  Cycle 20: time = 4.70628 min, dt = 1.18424 min
CycleDriver        |  New time = 5.89052 min
CycleDriver        |  
CycleDriver        |  Cycle 21: time = 5.89052 min, dt = 1.4803 min
CycleDriver        |  New time = 7.37082 min
CycleDriver        |  
CycleDriver        |  Cycle 22: time = 7.37082 min, dt = 1.85037 min
CycleDriver        |  New time = 0.153687 h
CycleDriver        |  
CycleDriver        |  Cycle 23: time = 0.153687 h, dt = 2.31296 min
CycleDriver        |  New time = 0.192236 h
CycleDriver        |  
CycleDriver        |  Cycle 24: time = 0.192236 h, dt = 2.89121 min
CycleDriver        |  New time = 0.240423 h
CycleDriver        |  
CycleDriver        |  Cycle 25: time = 0.240423 h, dt = 3.61401 min
CycleDriver        |  New time = 0.300656 h
CycleDriver        |  
CycleDriver        |  Cycle 26: time = 0.300656 h, dt = 4.51751 min
CycleDriver        |  New time = 0.375948 h
CycleDriver        |  
CycleDriver        |  Cycle 27: time = 0.375948 h, dt = 5.64689 min
CycleDriver        |  New time = 0.470063 h
CycleDriver        |  
CycleDriver        |  Cycle 28: time = 0.470063 h, dt = 7.05861 min
CycleDriver        |  New time = 0.587706 h
CycleDriver        |  
CycleDriver        |  Cycle 29: time = 0.587706 h, dt = 0.147054 h
CycleDriver        |  New time = 0.734761 h
CycleDriver        |  
CycleDriver        |  Cycle 30: time = 0.734761 h, dt = 0.183818 h
CycleDriver        |  New time = 0.918578 h
CycleDriver        |  
CycleDriver        |  Cycle 31: time = 0.918578 h, dt = 0.229772 h
CycleDriver        |  New time = 1.14835 h
CycleDriver        |  
CycleDriver        |  Cycle 32: time = 1.14835 h, dt = 0.287215 h
CycleDriver        |  New time = 1.43557 h
CycleDriver        |  
CycleDriver        |  Cycle 33: time = 1.43557 h, dt = 0.359019 h
CycleDriver        |  New time = 1.79459 h
CycleDriver        |  
CycleDriver        |  Cycle 34: time = 1.79459 h, dt = 0.448774 h
CycleDriver        |  New time = 2.24336 h
CycleDriver        |  
CycleDriver        |  Cycle 35: time = 2.24336 h, dt = 0.560968 h
CycleDriver        |  New time = 2.80433 h
CycleDriver        |  
CycleDriver        |  Cycle 36: time = 2.80433 h, dt = 0.560968 h
CycleDriver        |  New time = 3.3653 h
CycleDriver        |  
CycleDriver        |  Cycle 37: time = 3.3653 h, dt = 0.70121 h
CycleDriver        |  New time = 4.06651 h
CycleDriver        |  
CycleDriver        |  Cycle 38: time = 4.06651 h, dt = 0.876512 h
CycleDriver        |  New time = 0.205959 d
CycleDriver        |  
CycleDriver        |  Cycle 39: time = 0.205959 d, dt = 0.876512 h
CycleDriver        |  New time = 0.24248 d
CycleDriver        |  
CycleDriver        |  Cycle 40: time = 0.24248 d, dt = 1.09564 h
CycleDriver        |  New time = 0.288132 d
CycleDriver        |  
CycleDriver        |  Cycle 41: time = 0.288132 d, dt = 1.09564 h
CycleDriver        |  New time = 0.333784 d
CycleDriver        |  
CycleDriver        |  Cycle 42: time = 0.333784 d, dt = 1.36955 h
CycleDriver        |  New time = 0.390848 d
CycleDriver        |  
CycleDriver        |  Cycle 43: time = 0.390848 d, dt = 1.71194 h
CycleDriver        |  New time = 0.462179 d
CycleDriver        |  
CycleDriver        |  Cycle 44: time = 0.462179 d, dt = 1.71194 h
CycleDriver        |  New time = 0.53351 d
CycleDriver        |  
CycleDriver        |  Cycle 45: time = 0.53351 d, dt = 2.13992 h
CycleDriver        |  New time = 0.622673 d
CycleDriver        |  
CycleDriver        |  Cycle 46: time = 0.622673 d, dt = 2.13992 h
CycleDriver        |  New time = 0.711837 d
CycleDriver        |  
CycleDriver        |  Cycle 47: time = 0.711837 d, dt = 2.6749 h
CycleDriver        |  New time = 0.823291 d
CycleDriver        |  
CycleDriver        |  Cycle 48: time = 0.823291 d, dt = 2.6749 h
CycleDriver        |  New time = 0.934745 d
CycleDriver        |  
CycleDriver        |  Cycle 49: time = 0.934745 d, dt = 2.6749 h
CycleDriver        |  New time = 1.0462 d
CycleDriver        |  
CycleDriver        |  Cycle 50: time = 1.0462 d, dt = 3.34363 h
CycleDriver        |  New time = 1.18552 d
CycleDriver        |  
CycleDriver        |  Cycle 51: time = 1.18552 d, dt = 3.34363 h
CycleDriver        |  New time = 1.32484 d
CycleDriver        |  
CycleDriver        |  Cycle 52: time = 1.32484 d, dt = 3.34363 h
CycleDriver        |  New time = 1.46415 d
CycleDriver        |  
CycleDriver        |  Cycle 53: time = 1.46415 d, dt = 4.17954 h
CycleDriver        |  New time = 1.6383 d
CycleDriver        |  
CycleDriver        |  Cycle 54: time = 1.6383 d, dt = 0.217684 d
CycleDriver        |  New time = 1.85598 d
CycleDriver        |  
CycleDriver        |  Cycle 55: time = 1.85598 d, dt = 0.272105 d
CycleDriver        |  New time = 2.12809 d
CycleDriver        |  
CycleDriver        |  Cycle 56: time = 2.12809 d, dt = 0.272105 d
CycleDriver        |  New time = 2.40019 d
CycleDriver        |  
CycleDriver        |  Cycle 57: time = 2.40019 d, dt = 0.272105 d
Solver::NKA        |   terminating due to overflow ||du||=3.43847e+07, ||du_prev||=118.791
CycleDriver        |  
CycleDriver        |  Cycle 57: time = 2.40019 d, dt = 0.217684 d
CycleDriver        |  New time = 2.61788 d
CycleDriver        |  
CycleDriver        |  Cycle 58: time = 2.61788 d, dt = 0.217684 d
CycleDriver        |  New time = 2.83556 d
CycleDriver        |  
CycleDriver        |  Cycle 59: time = 2.83556 d, dt = 4.17954 h
CycleDriver        |  New time = 3.00971 d
CycleDriver        |  
CycleDriver        |  Cycle 60: time = 3.00971 d, dt = 3.34363 h
CycleDriver        |  
CycleDriver        |  Cycle 60: time = 3.00971 d, dt = 2.6749 h
CycleDriver        |  New time = 3.12116 d
CycleDriver        |  
CycleDriver        |  Cycle 61: time = 3.12116 d, dt = 2.13992 h
CycleDriver        |  New time = 3.21033 d
CycleDriver        |  
CycleDriver        |  Cycle 62: time = 3.21033 d, dt = 1.71194 h
CycleDriver        |  New time = 3.28166 d
CycleDriver        |  
CycleDriver        |  Cycle 63: time = 3.28166 d, dt = 1.71194 h
CycleDriver        |  New time = 3.35299 d
CycleDriver        |  
CycleDriver        |  Cycle 64: time = 3.35299 d, dt = 1.71194 h
Solver::NKA        |   terminating due to overflow ||du||=1.41437e+07, ||du_prev||=2268.2
CycleDriver        |  
CycleDriver        |  Cycle 64: time = 3.35299 d, dt = 1.36955 h
CycleDriver        |  New time = 3.41005 d
CycleDriver        |  
CycleDriver        |  Cycle 65: time = 3.41005 d, dt = 1.36955 h
CycleDriver        |  New time = 3.46712 d
CycleDriver        |  
CycleDriver        |  Cycle 66: time = 3.46712 d, dt = 1.36955 h
CycleDriver        |  New time = 3.52418 d
CycleDriver        |  
CycleDriver        |  Cycle 67: time = 3.52418 d, dt = 1.36955 h
CycleDriver        |  New time = 3.58125 d
CycleDriver        |  
CycleDriver        |  Cycle 68: time = 3.58125 d, dt = 1.36955 h
CycleDriver        |  New time = 3.63831 d
CycleDriver        |  
CycleDriver        |  Cycle 69: time = 3.63831 d, dt = 1.09564 h
CycleDriver        |  New time = 3.68396 d
CycleDriver        |  
CycleDriver        |  Cycle 70: time = 3.68396 d, dt = 1.36955 h
Solver::NKA        |   Solver is diverging repeatedly, terminating...
CycleDriver        |  
CycleDriver        |  Cycle 70: time = 3.68396 d, dt = 1.09564 h
CycleDriver        |  New time = 3.72962 d
CycleDriver        |  
CycleDriver        |  Cycle 71: time = 3.72962 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.46367e+16 ||du_tmp0||=9368.49
CycleDriver        |  
CycleDriver        |  Cycle 71: time = 3.72962 d, dt = 1.09564 h
CycleDriver        |  New time = 3.77527 d
CycleDriver        |  
CycleDriver        |  Cycle 72: time = 3.77527 d, dt = 1.09564 h
CycleDriver        |  New time = 3.82092 d
CycleDriver        |  
CycleDriver        |  Cycle 73: time = 3.82092 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.14089e+16 ||du_tmp0||=12432.3
CycleDriver        |  
CycleDriver        |  Cycle 73: time = 3.82092 d, dt = 1.09564 h
CycleDriver        |  New time = 3.86657 d
CycleDriver        |  
CycleDriver        |  Cycle 74: time = 3.86657 d, dt = 1.09564 h
CycleDriver        |  New time = 3.91222 d
CycleDriver        |  
CycleDriver        |  Cycle 75: time = 3.91222 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.42027e+16 ||du_tmp0||=13937.4
CycleDriver        |  
CycleDriver        |  Cycle 75: time = 3.91222 d, dt = 1.09564 h
CycleDriver        |  New time = 3.95787 d
CycleDriver        |  
CycleDriver        |  Cycle 76: time = 3.95787 d, dt = 1.09564 h
CycleDriver        |  New time = 4.00353 d
CycleDriver        |  
CycleDriver        |  Cycle 77: time = 4.00353 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.74782e+24 ||du_tmp0||=14039.4
CycleDriver        |  
CycleDriver        |  Cycle 77: time = 4.00353 d, dt = 1.09564 h
CycleDriver        |  New time = 4.04918 d
CycleDriver        |  
CycleDriver        |  Cycle 78: time = 4.04918 d, dt = 1.09564 h
CycleDriver        |  New time = 4.09483 d
CycleDriver        |  
CycleDriver        |  Cycle 79: time = 4.09483 d, dt = 1.09564 h
CycleDriver        |  New time = 4.14048 d
CycleDriver        |  
CycleDriver        |  Cycle 80: time = 4.14048 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.78415e+15 ||du_tmp0||=12226.9
CycleDriver        |  
CycleDriver        |  Cycle 80: time = 4.14048 d, dt = 1.09564 h
CycleDriver        |  New time = 4.18613 d
CycleDriver        |  
CycleDriver        |  Cycle 81: time = 4.18613 d, dt = 1.09564 h
CycleDriver        |  New time = 4.23178 d
CycleDriver        |  
CycleDriver        |  Cycle 82: time = 4.23178 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=8.33487e+14 ||du_tmp0||=13819
CycleDriver        |  
CycleDriver        |  Cycle 82: time = 4.23178 d, dt = 1.09564 h
CycleDriver        |  New time = 4.27744 d
CycleDriver        |  
CycleDriver        |  Cycle 83: time = 4.27744 d, dt = 1.09564 h
CycleDriver        |  New time = 4.32309 d
CycleDriver        |  
CycleDriver        |  Cycle 84: time = 4.32309 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.41826e+24 ||du_tmp0||=14019.7
CycleDriver        |  
CycleDriver        |  Cycle 84: time = 4.32309 d, dt = 1.09564 h
CycleDriver        |  New time = 4.36874 d
CycleDriver        |  
CycleDriver        |  Cycle 85: time = 4.36874 d, dt = 1.09564 h
CycleDriver        |  New time = 4.41439 d
CycleDriver        |  
CycleDriver        |  Cycle 86: time = 4.41439 d, dt = 1.09564 h
CycleDriver        |  New time = 4.46004 d
CycleDriver        |  
CycleDriver        |  Cycle 87: time = 4.46004 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.14235e+15 ||du_tmp0||=12117.8
CycleDriver        |  
CycleDriver        |  Cycle 87: time = 4.46004 d, dt = 1.09564 h
CycleDriver        |  New time = 4.50569 d
CycleDriver        |  
CycleDriver        |  Cycle 88: time = 4.50569 d, dt = 1.09564 h
CycleDriver        |  New time = 4.55135 d
CycleDriver        |  
CycleDriver        |  Cycle 89: time = 4.55135 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.86009e+15 ||du_tmp0||=13767.5
CycleDriver        |  
CycleDriver        |  Cycle 89: time = 4.55135 d, dt = 1.09564 h
CycleDriver        |  New time = 4.597 d
CycleDriver        |  
CycleDriver        |  Cycle 90: time = 4.597 d, dt = 1.09564 h
CycleDriver        |  New time = 4.64265 d
CycleDriver        |  
CycleDriver        |  Cycle 91: time = 4.64265 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.92702e+24 ||du_tmp0||=13875.6
CycleDriver        |  
CycleDriver        |  Cycle 91: time = 4.64265 d, dt = 1.09564 h
CycleDriver        |  New time = 4.6883 d
CycleDriver        |  
CycleDriver        |  Cycle 92: time = 4.6883 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.05392e+17 ||du_tmp0||=9428.99
CycleDriver        |  
CycleDriver        |  Cycle 92: time = 4.6883 d, dt = 1.09564 h
CycleDriver        |  New time = 4.73395 d
CycleDriver        |  
CycleDriver        |  Cycle 93: time = 4.73395 d, dt = 1.09564 h
CycleDriver        |  New time = 4.7796 d
CycleDriver        |  
CycleDriver        |  Cycle 94: time = 4.7796 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.41495e+20 ||du_tmp0||=12364.2
CycleDriver        |  
CycleDriver        |  Cycle 94: time = 4.7796 d, dt = 1.09564 h
CycleDriver        |  New time = 4.82526 d
CycleDriver        |  
CycleDriver        |  Cycle 95: time = 4.82526 d, dt = 1.09564 h
CycleDriver        |  New time = 4.87091 d
CycleDriver        |  
CycleDriver        |  Cycle 96: time = 4.87091 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=8.72825e+15 ||du_tmp0||=13837
CycleDriver        |  
CycleDriver        |  Cycle 96: time = 4.87091 d, dt = 1.09564 h
CycleDriver        |  New time = 4.91656 d
CycleDriver        |  
CycleDriver        |  Cycle 97: time = 4.91656 d, dt = 1.09564 h
CycleDriver        |  New time = 4.96221 d
CycleDriver        |  
CycleDriver        |  Cycle 98: time = 4.96221 d, dt = 1.36955 h
CycleDriver        |  New time = 5.01928 d
CycleDriver        |  
CycleDriver        |  Cycle 99: time = 5.01928 d, dt = 1.09564 h
CycleDriver        |   writing visualization file: domain
CycleDriver        |  New time = 5.06493 d
CycleDriver        |  
CycleDriver        |  Simulation end time: 3.15576e+11 sec.
CycleDriver        |  CPU time stamp: [00:00:03]
CycleDriver        |  
CycleDriver        |  Cycle 100: time = 5.06493 d, dt = 1.09564 h
CycleDriver        |  New time = 5.11058 d
CycleDriver        |  
CycleDriver        |  Cycle 101: time = 5.11058 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.03133e+18 ||du_tmp0||=10791
CycleDriver        |  
CycleDriver        |  Cycle 101: time = 5.11058 d, dt = 1.09564 h
CycleDriver        |  New time = 5.15623 d
CycleDriver        |  
CycleDriver        |  Cycle 102: time = 5.15623 d, dt = 1.09564 h
CycleDriver        |  New time = 5.20188 d
CycleDriver        |  
CycleDriver        |  Cycle 103: time = 5.20188 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.56823e+15 ||du_tmp0||=13269.9
CycleDriver        |  
CycleDriver        |  Cycle 103: time = 5.20188 d, dt = 1.09564 h
CycleDriver        |  New time = 5.24753 d
CycleDriver        |  
CycleDriver        |  Cycle 104: time = 5.24753 d, dt = 1.09564 h
CycleDriver        |  New time = 5.29319 d
CycleDriver        |  
CycleDriver        |  Cycle 105: time = 5.29319 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=4.37513e+24 ||du_tmp0||=13847.7
CycleDriver        |  
CycleDriver        |  Cycle 105: time = 5.29319 d, dt = 1.09564 h
CycleDriver        |  New time = 5.33884 d
CycleDriver        |  
CycleDriver        |  Cycle 106: time = 5.33884 d, dt = 1.09564 h
CycleDriver        |  New time = 5.38449 d
CycleDriver        |  
CycleDriver        |  Cycle 107: time = 5.38449 d, dt = 1.36955 h
CycleDriver        |  New time = 5.44155 d
CycleDriver        |  
CycleDriver        |  Cycle 108: time = 5.44155 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=4.98359e+18 ||du_tmp0||=10054
CycleDriver        |  
CycleDriver        |  Cycle 108: time = 5.44155 d, dt = 1.09564 h
CycleDriver        |  New time = 5.48721 d
CycleDriver        |  
CycleDriver        |  Cycle 109: time = 5.48721 d, dt = 1.09564 h
CycleDriver        |  New time = 5.53286 d
CycleDriver        |  
CycleDriver        |  Cycle 110: time = 5.53286 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=5.89801e+14 ||du_tmp0||=12445.8
CycleDriver        |  
CycleDriver        |  Cycle 110: time = 5.53286 d, dt = 1.09564 h
CycleDriver        |  New time = 5.57851 d
CycleDriver        |  
CycleDriver        |  Cycle 111: time = 5.57851 d, dt = 1.09564 h
CycleDriver        |  New time = 5.62416 d
CycleDriver        |  
CycleDriver        |  Cycle 112: time = 5.62416 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.34243e+14 ||du_tmp0||=13803.8
CycleDriver        |  
CycleDriver        |  Cycle 112: time = 5.62416 d, dt = 1.09564 h
CycleDriver        |  New time = 5.66981 d
CycleDriver        |  
CycleDriver        |  Cycle 113: time = 5.66981 d, dt = 1.09564 h
CycleDriver        |  New time = 5.71546 d
CycleDriver        |  
CycleDriver        |  Cycle 114: time = 5.71546 d, dt = 1.36955 h
CycleDriver        |  New time = 5.77253 d
CycleDriver        |  
CycleDriver        |  Cycle 115: time = 5.77253 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=4.91624e+17 ||du_tmp0||=8915.03
CycleDriver        |  
CycleDriver        |  Cycle 115: time = 5.77253 d, dt = 1.09564 h
CycleDriver        |  New time = 5.81818 d
CycleDriver        |  
CycleDriver        |  Cycle 116: time = 5.81818 d, dt = 1.09564 h
CycleDriver        |  New time = 5.86383 d
CycleDriver        |  
CycleDriver        |  Cycle 117: time = 5.86383 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.22061e+16 ||du_tmp0||=11749.4
CycleDriver        |  
CycleDriver        |  Cycle 117: time = 5.86383 d, dt = 1.09564 h
CycleDriver        |  New time = 5.90948 d
CycleDriver        |  
CycleDriver        |  Cycle 118: time = 5.90948 d, dt = 1.09564 h
CycleDriver        |  New time = 5.95513 d
CycleDriver        |  
CycleDriver        |  Cycle 119: time = 5.95513 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.56371e+15 ||du_tmp0||=13641.4
CycleDriver        |  
CycleDriver        |  Cycle 119: time = 5.95513 d, dt = 1.09564 h
CycleDriver        |  New time = 6.00079 d
CycleDriver        |  
CycleDriver        |  Cycle 120: time = 6.00079 d, dt = 1.09564 h
CycleDriver        |  New time = 6.04644 d
CycleDriver        |  
CycleDriver        |  Cycle 121: time = 6.04644 d, dt = 1.36955 h
CycleDriver        |  
CycleDriver        |  Cycle 121: time = 6.04644 d, dt = 1.09564 h
CycleDriver        |  New time = 6.09209 d
CycleDriver        |  
CycleDriver        |  Cycle 122: time = 6.09209 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.56741e+14 ||du_tmp0||=10212.4
CycleDriver        |  
CycleDriver        |  Cycle 122: time = 6.09209 d, dt = 1.09564 h
CycleDriver        |  New time = 6.13774 d
CycleDriver        |  
CycleDriver        |  Cycle 123: time = 6.13774 d, dt = 1.09564 h
CycleDriver        |  New time = 6.18339 d
CycleDriver        |  
CycleDriver        |  Cycle 124: time = 6.18339 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.84127e+14 ||du_tmp0||=12932.5
CycleDriver        |  
CycleDriver        |  Cycle 124: time = 6.18339 d, dt = 1.09564 h
CycleDriver        |  New time = 6.22904 d
CycleDriver        |  
CycleDriver        |  Cycle 125: time = 6.22904 d, dt = 1.09564 h
CycleDriver        |  New time = 6.2747 d
CycleDriver        |  
CycleDriver        |  Cycle 126: time = 6.2747 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.49696e+14 ||du_tmp0||=13829.3
CycleDriver        |  
CycleDriver        |  Cycle 126: time = 6.2747 d, dt = 1.09564 h
CycleDriver        |  New time = 6.32035 d
CycleDriver        |  
CycleDriver        |  Cycle 127: time = 6.32035 d, dt = 1.09564 h
CycleDriver        |  New time = 6.366 d
CycleDriver        |  
CycleDriver        |  Cycle 128: time = 6.366 d, dt = 1.36955 h
CycleDriver        |  New time = 6.42306 d
CycleDriver        |  
CycleDriver        |  Cycle 129: time = 6.42306 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.23914e+18 ||du_tmp0||=9571.52
CycleDriver        |  
CycleDriver        |  Cycle 129: time = 6.42306 d, dt = 1.09564 h
CycleDriver        |  New time = 6.46872 d
CycleDriver        |  
CycleDriver        |  Cycle 130: time = 6.46872 d, dt = 1.09564 h
CycleDriver        |  New time = 6.51437 d
CycleDriver        |  
CycleDriver        |  Cycle 131: time = 6.51437 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.22128e+15 ||du_tmp0||=12185.6
CycleDriver        |  
CycleDriver        |  Cycle 131: time = 6.51437 d, dt = 1.09564 h
CycleDriver        |  New time = 6.56002 d
CycleDriver        |  
CycleDriver        |  Cycle 132: time = 6.56002 d, dt = 1.09564 h
CycleDriver        |  New time = 6.60567 d
CycleDriver        |  
CycleDriver        |  Cycle 133: time = 6.60567 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.87301e+14 ||du_tmp0||=13735.5
CycleDriver        |  
CycleDriver        |  Cycle 133: time = 6.60567 d, dt = 1.09564 h
